id,text
324583813902655489,"RT @muftimenk: Attitude can take away your beauty no matter how good looking you are or it could enhance your beauty, making you adorable."
324397718099353601,I'm a stress free kind of guy
324348831938519040,Nowadays everybody wanna talk like they got somethin to say but nothin comes out when they move their lips; just a bunch of gibberish
324268440082841600,@ImRealTed fake story
324211255869067266,"So then I says to him, I says, relax bro my beard is not loaded"
324210172862025729,"@therealAbdul_ #heavy I've been looking for those, there is a shortage on the black market if you wanna make a quick buck, nuff said.."
324209310936752129,@therealAbdul_ you need to get Claritin clear
324017963587993600,There are people that know the truth but stay silent &amp; there are people that speak the truth but we don't hear them cuz they're the minority
323998162249474048,@mellochamp *say
323997583372599297,"@MelloChamp and they what ""god hates dead people?"" Or victims of tragedies? Lol those people are cooked"
323997002985787393,@MelloChamp what's new with them?
323950071777472514,"Ain't no love in the heart of the city, stay safe people"
323641800747257857,"@xXjungaXx good luck my brother, I'm sure you'll get in"
323641287335096320,@xXjungaXx where yu going?
323635098173984768,@biggblakk92 oh ight
323631833038323712,"@biggblakk92 yo bigblack why are you saying ""is"" instead of ""as"""
323250941048545280,And here I thought nemo's dad was about to get it with dory but apparently this man turned into a female #thatscray
323233878879899649,"@TroyCrossley @gameofthrones every character on that show got some sort of std bro, I do like the show tho"
323233216330858496,@TroyCrossley ahaha word mayne but that's not why I like the show... Lol fair to say all those hoes are prolly dirty...
323230431082332160,"@TroyCrossley lets not get ahead of ourselves now Troy, it's a good show but breaking bad we can relate to a little bit more, I like meth"
323189623058739200,"Got me a haircut, I don't usually do those"
323140070888599552,"@Kid_Wavyy lol dam that's not an easy task bruh, I'll see what I can do"
323135034930393089,@Kid_Wavyy yea man never get into a family plan with foreigners
322570432064675840, the furious 5
322556096764051456,@DamnItGIO you know I'm not for that res dog
322554643215429632,"Dreams really do come true, last night I dreamt I was eating a cheeseburger and in the afternoon today, guess what I was eating..."
322552492137254912,"Now we aint come here to start no drama, we just looking for our future baby mamas"
322227639635038208,Most of you are conditioned by the media
322143347143741440,"Gain knowledge, get women, acquire currency #livestrong"
321869671173332993,"-you don't care that I smoke, right? 
-man, I wouldn't care if you shot yourself in the head 
^friendship"
321868094886801408,Living life too fast y'all need to slow down
321690912436674560,@xXjungaXx http://t.co/33Dzevjvja this ever happen to you??
321496261104648193,Imagine how reckless their weekend is going to be in #Louisville
321135279714992128,RT @NotCommonFacts: A small child could swim through the veins of a blue whale.
321113224802099201,If you have the knowledge and the inspiration all that's left is to take action
320710919577559041,"I really don't like it when I have one ear pressed against the pillow and I start to hear my heart beat, who can sleep with all that noise"
320004718875267072,@MelloChamp #godyallsomebrokeboys
319981217346883584,RT @FillWerrell: The moment when you get your friend in trouble http://t.co/I1h5k5JLkW
319974845209260032,I need a new show to watch
319934386206294016,Drinking tea and I'm sweating
319933981518884864,"I'm hot, about 103.4 degrees to be exact"
318948434977624064,I got too much love and respect for the twins happy 20th fellas @CopDaWholeThang @Kid_Wavyy
318590551458979840,@sotirop_evi you're waaaay prettier of course
318588960194580480,@sotirop_evi don't say that Evi
318586242952486914,Hey @sotirop_evi turn to channel 30 you'll find your long lost brother http://t.co/5fwwPeikpJ
318568305147396096,"- Хороший мой... Бедненький... Маленький... Малюсенький... 
- Настя блять!!! Ну кто ТАК возбуждает?! #russian #prikol"
318205239918481409,Naaah I'm just kiddin freeee the waaave
318205140228251650,Keep max b in jail
318000407362285569,"Lunch, dinner ima let you get here but that was the best breakfast of all time"
317382548663713793,No one is really violent until they're with the homies
317140907096952832,"Like lee, I'm likely to make a joke out of chuck"
317127552726614016,Five hundred twenty five thousand six hundred miiinutes
316978743300218880,@JukeMeng yeaa that's  beefski
316977688856363008,Careful who you text http://t.co/JA7NB81WUT
316759690170224640,RT @ChinksMcGee: Lmaoooo http://t.co/hNYQD60B1L
316625999972429824,@bettzamparelli on second thought it must be a struggle for autocorrect to correct your thug swag
316624832055869442,"@BettZamparelli I bet dawg, with you're unique lexicon it must be a struggle"
316621190238187522,Autocorrect is fucking with my grammar
316620793318604800,"Jeremy has 32 teeth, Johny 28 and Jamal 19, doesn't matter what toothpaste yu use what's important is not to buy Jordan's on release day"
316613084762501121,Being bilingual is da bomb
316611891529134081,"-Выходи за меня замуж. 
-Хорошо, Согласна!
И тишина
-Ну ты больше ничего мне не скажешь, дорогой? 
-Да я и так уже, кажется лишнего пизданул"
316558073714057216,I bought a pack of orbit today and the guy at the cash register asked if I wanted a bag. So I made him double bag it
316228693049606144,@therealAbdul_ @sotirop_evi I can't watch my mouth that's physically impossible Abdul...
316219416654274562,@sotirop_evi @therealabdul_ lol but yea yu kids are alright
316219019944407040,@sotirop_evi @therealabdul_  http://t.co/ZTX0eW6iH2
316214495032778752,"@sotirop_evi @therealAbdul_ oh my Kenyan god, oh my Greek goddess  lol I'm kidding you guys are cute when yu do that in every post"
316197315096494082,"@MonTanA_BaBy replace that with fajr guy, then dhur and so on #wordsofwisdom for ya"
316177873872486400,"@MelloChamp 80% man, always"
316105983493562369,"That homework that I was supposed to do, yeaa I'm still doing it"
315999561229418496,Walking dead then Vikings and maybe some homework
315822409016041472,"#tmlt I just wrote y'all a horoscope for the day and most of you will be like ""dam, that shit was so accurate"" #goodmorning"
315822363117772801,"you will have to make tough decisions today and those decisions will influence your future, hardships will arouse and yu will roll up loud"
315768544048582658,“@KidComeUp: Just got home like a real nigga decently poppin night...” Lol you're a clown bro #fuxwithit
315170410234785792,@TroyCrossley @xxjungaxx lets go whale watching... outside of Bellingham sq McDs
315038985191845889,I was gonna go for a 6am run aha I'm joking I woke up to eat some Nutella
315038529174511616,"Not too early for breakfast, is it?"
314895580272926721,#ilove http://t.co/Wzim51hjLv
314604293527314434,@MelloChamp I think it's too late...
314603481510068224,@MelloChamp yu apply already?
314602864121102336,"Once you feel you are avoided by someone, never disturb them again"
314595700757364737,@MelloChamp for which semester?
314593464341909504,Evil triumphs when good men do nothing
314547898165633024,"@TroyCrossley @xxjungaxx I'm still around till Sunday, we can do more damage I got some more left"
314546870179487745,"@TroyCrossley @xxjungaxx yea cuddi, we done did it. I told him to hit yu up but the bird abstained from doing so"
313792911932280832,"People come into your life to help you, hurt you, love you and leave you and that shapes your character and the person you were meant to be"
313658909732773888,"in my time, as an uncle of 4 now, I can tell you that Sesame Street teaches kids nothing useful except the alphabet and how to count to ten"
313483264935477248,RT @AnnieAreYouOkay: I wanna cuddle...This is the gayest shit I've ever tweeted.
313438750132826112,"* On the phone*"" Yo are you with junes?"" 
@TroyCrossley - what, nigga I'm not Jewish"" lol major miscommunication"
313347464709156864,"RT @FillWerrell: I didn't lose a follower, a follower lost me"
313334116521238528,"see no evil, hear no evil, speak no evil until the morning alarm goes off and all hell unleashes"
312852991294205952,@Kid_Wavyy that's physically impossible
312822958341095424,RT @YungIndyan: @J_tsar Watch the New Video: Mellow Nights !! By @_TheRealJustice http://t.co/sV7R6uUtlF
312771198385790976,Place your bets http://t.co/L1lHCUzwBR
312768270031785986,We postin' http://t.co/RjUJddJNJt
